title,location,experience,salary,description,skills
Data Analyst,Pune,2-5 Years,800000,Looking for Data Analyst,"Java, SQL, Kubernetes, Machine Learning"
Data Analyst,Mumbai,0-2 Years,800000,Looking for Data Analyst,"Spark, Python, SQL, Power BI"
Cloud Engineer,Mumbai,5-8 Years,2300000,Looking for Cloud Engineer,"Spark, AWS, C++, Tableau"
Data Scientist,Delhi,0-2 Years,700000,Looking for Data Scientist,"Machine Learning, Python, Spark, TensorFlow"
ML Engineer,Hyderabad,5-8 Years,2200000,Looking for ML Engineer,"Tableau, C++, TensorFlow, Excel"
Backend Developer,Hyderabad,8+ Years,3700000,Looking for Backend Developer,"Java, SQL, TensorFlow, Docker"
AI Engineer,Delhi,5-8 Years,2200000,Looking for AI Engineer,"C++, React, Spark, AWS"
Frontend Developer,Bangalore,2-5 Years,800000,Looking for Frontend Developer,"SQL, C++, React, Spark"
ML Engineer,Chennai,2-5 Years,1300000,Looking for ML Engineer,"Power BI, Python, Tableau, Spark"
Cloud Engineer,Delhi,8+ Years,4000000,Looking for Cloud Engineer,"SQL, Excel, TensorFlow, Machine Learning"
DevOps Engineer,Mumbai,0-2 Years,700000,Looking for DevOps Engineer,"Tableau, Kubernetes, SQL, Docker"
Data Scientist,Bangalore,0-2 Years,400000,Looking for Data Scientist,"Power BI, AWS, Kubernetes, Machine Learning"
Data Scientist,Hyderabad,8+ Years,3700000,Looking for Data Scientist,"Python, Power BI, Kubernetes, Java"
Full Stack Developer,Hyderabad,2-5 Years,1400000,Looking for Full Stack Developer,"AWS, Tableau, React, Machine Learning"
Data Analyst,Pune,0-2 Years,500000,Looking for Data Analyst,"Machine Learning, C++, TensorFlow, Excel"
Full Stack Developer,Mumbai,2-5 Years,1500000,Looking for Full Stack Developer,"C++, Excel, TensorFlow, SQL"
ML Engineer,Bangalore,8+ Years,3100000,Looking for ML Engineer,"Tableau, SQL, Power BI, Docker"
AI Engineer,Bangalore,2-5 Years,1300000,Looking for AI Engineer,"Machine Learning, Tableau, C++, Docker"
Frontend Developer,Mumbai,0-2 Years,800000,Looking for Frontend Developer,"C++, Machine Learning, React, Spark"
ML Engineer,Delhi,8+ Years,2700000,Looking for ML Engineer,"Docker, Java, Tableau, Python"
Frontend Developer,Delhi,8+ Years,3500000,Looking for Frontend Developer,"Tableau, Docker, Excel, React"
Frontend Developer,Hyderabad,2-5 Years,800000,Looking for Frontend Developer,"Machine Learning, Tableau, SQL, C++"
Backend Developer,Pune,8+ Years,2900000,Looking for Backend Developer,"Excel, Tableau, Machine Learning, Kubernetes"
Data Scientist,Chennai,0-2 Years,400000,Looking for Data Scientist,"Python, C++, Docker, TensorFlow"
Data Scientist,Mumbai,5-8 Years,2100000,Looking for Data Scientist,"Tableau, Java, Power BI, Spark"
DevOps Engineer,Delhi,2-5 Years,900000,Looking for DevOps Engineer,"Docker, Power BI, AWS, TensorFlow"
Full Stack Developer,Pune,5-8 Years,1600000,Looking for Full Stack Developer,"C++, Docker, Tableau, TensorFlow"
Data Scientist,Bangalore,0-2 Years,800000,Looking for Data Scientist,"React, Kubernetes, AWS, Java"
ML Engineer,Hyderabad,0-2 Years,500000,Looking for ML Engineer,"Tableau, Power BI, Machine Learning, Docker"
ML Engineer,Mumbai,2-5 Years,1200000,Looking for ML Engineer,"TensorFlow, React, AWS, Power BI"
DevOps Engineer,Hyderabad,8+ Years,3900000,Looking for DevOps Engineer,"C++, Docker, SQL, Kubernetes"
AI Engineer,Bangalore,8+ Years,4000000,Looking for AI Engineer,"Kubernetes, Tableau, AWS, Machine Learning"
AI Engineer,Pune,8+ Years,2500000,Looking for AI Engineer,"Spark, Power BI, Java, Tableau"
Backend Developer,Delhi,0-2 Years,400000,Looking for Backend Developer,"Docker, SQL, Excel, Power BI"
Frontend Developer,Delhi,2-5 Years,1400000,Looking for Frontend Developer,"TensorFlow, Python, Machine Learning, React"
DevOps Engineer,Mumbai,5-8 Years,1900000,Looking for DevOps Engineer,"Spark, Java, Power BI, Docker"
DevOps Engineer,Mumbai,2-5 Years,1200000,Looking for DevOps Engineer,"Java, Spark, Tableau, Power BI"
Full Stack Developer,Hyderabad,0-2 Years,700000,Looking for Full Stack Developer,"SQL, C++, TensorFlow, React"
Backend Developer,Delhi,0-2 Years,800000,Looking for Backend Developer,"Power BI, Java, Spark, Machine Learning"
Full Stack Developer,Mumbai,8+ Years,2500000,Looking for Full Stack Developer,"Docker, Machine Learning, Spark, Tableau"
Backend Developer,Hyderabad,2-5 Years,1500000,Looking for Backend Developer,"Excel, Tableau, Spark, Machine Learning"
Backend Developer,Pune,5-8 Years,2100000,Looking for Backend Developer,"TensorFlow, SQL, C++, Python"
DevOps Engineer,Delhi,8+ Years,3900000,Looking for DevOps Engineer,"Kubernetes, AWS, C++, TensorFlow"
Data Scientist,Chennai,0-2 Years,500000,Looking for Data Scientist,"SQL, Machine Learning, TensorFlow, Java"
Frontend Developer,Pune,5-8 Years,2300000,Looking for Frontend Developer,"Excel, Docker, AWS, Machine Learning"
Frontend Developer,Hyderabad,0-2 Years,700000,Looking for Frontend Developer,"Docker, Excel, Python, React"
Backend Developer,Delhi,5-8 Years,1700000,Looking for Backend Developer,"TensorFlow, Machine Learning, Spark, AWS"
Data Analyst,Chennai,5-8 Years,2500000,Looking for Data Analyst,"TensorFlow, Kubernetes, C++, Java"
Backend Developer,Mumbai,0-2 Years,500000,Looking for Backend Developer,"Java, Kubernetes, SQL, TensorFlow"
AI Engineer,Delhi,5-8 Years,1700000,Looking for AI Engineer,"Java, Python, React, Power BI"
AI Engineer,Chennai,8+ Years,3400000,Looking for AI Engineer,"Spark, TensorFlow, Python, Tableau"
Data Analyst,Pune,8+ Years,3000000,Looking for Data Analyst,"React, Power BI, SQL, Excel"
Full Stack Developer,Bangalore,5-8 Years,2400000,Looking for Full Stack Developer,"Java, Spark, Kubernetes, Tableau"
Full Stack Developer,Mumbai,0-2 Years,800000,Looking for Full Stack Developer,"Spark, AWS, TensorFlow, C++"
Full Stack Developer,Pune,5-8 Years,2400000,Looking for Full Stack Developer,"React, TensorFlow, Python, Kubernetes"
AI Engineer,Mumbai,0-2 Years,600000,Looking for AI Engineer,"AWS, Power BI, React, Excel"
DevOps Engineer,Delhi,5-8 Years,2000000,Looking for DevOps Engineer,"C++, Excel, React, Java"
Backend Developer,Mumbai,5-8 Years,1900000,Looking for Backend Developer,"Machine Learning, React, Spark, Docker"
Cloud Engineer,Mumbai,2-5 Years,1000000,Looking for Cloud Engineer,"C++, Power BI, Tableau, SQL"
Data Analyst,Bangalore,2-5 Years,900000,Looking for Data Analyst,"Kubernetes, Java, Python, Machine Learning"
Data Scientist,Chennai,8+ Years,3600000,Looking for Data Scientist,"Docker, Spark, Java, AWS"
Backend Developer,Chennai,5-8 Years,1500000,Looking for Backend Developer,"Tableau, React, Docker, Python"
Data Analyst,Chennai,8+ Years,2900000,Looking for Data Analyst,"Java, Machine Learning, Python, TensorFlow"
AI Engineer,Pune,0-2 Years,400000,Looking for AI Engineer,"Kubernetes, Power BI, TensorFlow, Tableau"
Frontend Developer,Pune,0-2 Years,400000,Looking for Frontend Developer,"SQL, TensorFlow, React, Power BI"
Backend Developer,Chennai,8+ Years,3700000,Looking for Backend Developer,"Java, Excel, Kubernetes, SQL"
Cloud Engineer,Pune,2-5 Years,1500000,Looking for Cloud Engineer,"Power BI, Spark, Docker, SQL"
DevOps Engineer,Chennai,8+ Years,3400000,Looking for DevOps Engineer,"C++, AWS, Python, Kubernetes"
AI Engineer,Chennai,8+ Years,2600000,Looking for AI Engineer,"C++, React, Spark, TensorFlow"
Data Scientist,Chennai,5-8 Years,2500000,Looking for Data Scientist,"C++, Docker, Power BI, Spark"
Cloud Engineer,Hyderabad,5-8 Years,2300000,Looking for Cloud Engineer,"Power BI, TensorFlow, Spark, Tableau"
AI Engineer,Pune,0-2 Years,400000,Looking for AI Engineer,"Machine Learning, Spark, Excel, AWS"
Data Analyst,Delhi,8+ Years,2700000,Looking for Data Analyst,"Kubernetes, SQL, TensorFlow, Power BI"
Data Analyst,Hyderabad,5-8 Years,1500000,Looking for Data Analyst,"React, SQL, C++, Python"
DevOps Engineer,Delhi,8+ Years,3300000,Looking for DevOps Engineer,"Kubernetes, Java, Tableau, Python"
Backend Developer,Chennai,0-2 Years,400000,Looking for Backend Developer,"Machine Learning, Docker, Spark, C++"
Full Stack Developer,Bangalore,2-5 Years,1500000,Looking for Full Stack Developer,"Tableau, Spark, Python, Excel"
Full Stack Developer,Delhi,8+ Years,3600000,Looking for Full Stack Developer,"C++, Python, Tableau, Spark"
Frontend Developer,Bangalore,5-8 Years,2100000,Looking for Frontend Developer,"SQL, TensorFlow, Python, Java"
DevOps Engineer,Chennai,0-2 Years,700000,Looking for DevOps Engineer,"Python, C++, Power BI, Machine Learning"
AI Engineer,Mumbai,2-5 Years,1000000,Looking for AI Engineer,"C++, Docker, Tableau, AWS"
ML Engineer,Delhi,0-2 Years,500000,Looking for ML Engineer,"C++, Docker, SQL, Spark"
AI Engineer,Pune,0-2 Years,700000,Looking for AI Engineer,"TensorFlow, Machine Learning, Power BI, Tableau"
Full Stack Developer,Hyderabad,0-2 Years,800000,Looking for Full Stack Developer,"SQL, Python, Machine Learning, Docker"
Data Analyst,Pune,8+ Years,4000000,Looking for Data Analyst,"Power BI, React, Java, Tableau"
Cloud Engineer,Bangalore,2-5 Years,800000,Looking for Cloud Engineer,"AWS, Excel, Spark, Machine Learning"
Backend Developer,Mumbai,8+ Years,2700000,Looking for Backend Developer,"Docker, Spark, TensorFlow, Power BI"
Frontend Developer,Delhi,0-2 Years,800000,Looking for Frontend Developer,"TensorFlow, AWS, Excel, C++"
Frontend Developer,Pune,8+ Years,2800000,Looking for Frontend Developer,"SQL, Tableau, Excel, Power BI"
Data Analyst,Chennai,8+ Years,3900000,Looking for Data Analyst,"Kubernetes, TensorFlow, Spark, C++"
Backend Developer,Mumbai,0-2 Years,700000,Looking for Backend Developer,"React, Java, AWS, Excel"
Data Analyst,Bangalore,0-2 Years,800000,Looking for Data Analyst,"Java, Spark, Kubernetes, Python"
AI Engineer,Chennai,5-8 Years,2400000,Looking for AI Engineer,"Excel, Spark, Machine Learning, C++"
AI Engineer,Bangalore,8+ Years,2600000,Looking for AI Engineer,"Machine Learning, React, Spark, AWS"
Cloud Engineer,Chennai,5-8 Years,2100000,Looking for Cloud Engineer,"AWS, Tableau, Machine Learning, Power BI"
ML Engineer,Chennai,8+ Years,3700000,Looking for ML Engineer,"Excel, Power BI, Tableau, TensorFlow"
ML Engineer,Pune,8+ Years,2600000,Looking for ML Engineer,"Machine Learning, Java, C++, Python"
Data Analyst,Bangalore,8+ Years,2800000,Looking for Data Analyst,"AWS, React, C++, Docker"
AI Engineer,Bangalore,0-2 Years,700000,Looking for AI Engineer,"AWS, Python, Power BI, Java"
ML Engineer,Pune,2-5 Years,900000,Looking for ML Engineer,"SQL, Python, Docker, TensorFlow"
Backend Developer,Bangalore,0-2 Years,500000,Looking for Backend Developer,"Docker, Python, Kubernetes, React"
Data Scientist,Delhi,0-2 Years,400000,Looking for Data Scientist,"AWS, Machine Learning, Spark, SQL"
Cloud Engineer,Chennai,5-8 Years,2000000,Looking for Cloud Engineer,"TensorFlow, Docker, C++, Python"
Frontend Developer,Mumbai,2-5 Years,1400000,Looking for Frontend Developer,"Python, Java, Power BI, C++"
Data Analyst,Pune,8+ Years,2500000,Looking for Data Analyst,"TensorFlow, Excel, SQL, Tableau"
AI Engineer,Mumbai,2-5 Years,1100000,Looking for AI Engineer,"Tableau, C++, SQL, Machine Learning"
Backend Developer,Pune,2-5 Years,1200000,Looking for Backend Developer,"Tableau, Spark, Java, Excel"
Full Stack Developer,Chennai,2-5 Years,1000000,Looking for Full Stack Developer,"Docker, Excel, Power BI, AWS"
DevOps Engineer,Pune,8+ Years,3500000,Looking for DevOps Engineer,"Power BI, C++, Java, Python"
DevOps Engineer,Hyderabad,0-2 Years,600000,Looking for DevOps Engineer,"AWS, C++, Docker, Spark"
ML Engineer,Delhi,2-5 Years,1100000,Looking for ML Engineer,"Power BI, Python, Tableau, SQL"
Frontend Developer,Hyderabad,0-2 Years,400000,Looking for Frontend Developer,"Java, AWS, React, Spark"
ML Engineer,Hyderabad,2-5 Years,1000000,Looking for ML Engineer,"Spark, C++, Tableau, Docker"
AI Engineer,Chennai,8+ Years,2800000,Looking for AI Engineer,"Machine Learning, Power BI, Python, AWS"
Frontend Developer,Pune,5-8 Years,1800000,Looking for Frontend Developer,"C++, Power BI, Docker, Machine Learning"
Cloud Engineer,Pune,8+ Years,3700000,Looking for Cloud Engineer,"Machine Learning, SQL, Python, Power BI"
Data Scientist,Mumbai,8+ Years,3900000,Looking for Data Scientist,"Docker, Kubernetes, Machine Learning, Spark"
Cloud Engineer,Delhi,5-8 Years,2100000,Looking for Cloud Engineer,"Java, Excel, Power BI, Machine Learning"
ML Engineer,Hyderabad,5-8 Years,1900000,Looking for ML Engineer,"C++, SQL, Spark, AWS"
Full Stack Developer,Bangalore,2-5 Years,1200000,Looking for Full Stack Developer,"Python, SQL, Tableau, React"
Full Stack Developer,Mumbai,2-5 Years,1300000,Looking for Full Stack Developer,"Excel, Java, Kubernetes, Python"
Backend Developer,Chennai,2-5 Years,900000,Looking for Backend Developer,"C++, Java, Power BI, SQL"
Data Scientist,Chennai,8+ Years,3300000,Looking for Data Scientist,"Tableau, Machine Learning, C++, TensorFlow"
Frontend Developer,Pune,8+ Years,2900000,Looking for Frontend Developer,"React, AWS, Excel, Java"
Data Scientist,Bangalore,5-8 Years,2000000,Looking for Data Scientist,"Java, Kubernetes, Tableau, Python"
Data Scientist,Mumbai,5-8 Years,2200000,Looking for Data Scientist,"AWS, React, Docker, Python"
Full Stack Developer,Bangalore,0-2 Years,500000,Looking for Full Stack Developer,"AWS, SQL, Tableau, C++"
Backend Developer,Hyderabad,8+ Years,2800000,Looking for Backend Developer,"Docker, Spark, Machine Learning, React"
Frontend Developer,Pune,8+ Years,3700000,Looking for Frontend Developer,"Python, AWS, Power BI, C++"
Frontend Developer,Chennai,0-2 Years,400000,Looking for Frontend Developer,"Spark, Docker, Tableau, C++"
Cloud Engineer,Bangalore,5-8 Years,1800000,Looking for Cloud Engineer,"Docker, Java, AWS, C++"
AI Engineer,Pune,8+ Years,2600000,Looking for AI Engineer,"SQL, Tableau, Spark, Power BI"
Cloud Engineer,Mumbai,8+ Years,3000000,Looking for Cloud Engineer,"AWS, Power BI, Machine Learning, Tableau"
Full Stack Developer,Pune,8+ Years,3500000,Looking for Full Stack Developer,"TensorFlow, Machine Learning, Java, Power BI"
Full Stack Developer,Mumbai,0-2 Years,700000,Looking for Full Stack Developer,"Kubernetes, C++, TensorFlow, Docker"
ML Engineer,Chennai,2-5 Years,1300000,Looking for ML Engineer,"TensorFlow, AWS, Python, Java"
DevOps Engineer,Bangalore,0-2 Years,500000,Looking for DevOps Engineer,"Docker, Machine Learning, Excel, AWS"
Full Stack Developer,Bangalore,0-2 Years,800000,Looking for Full Stack Developer,"SQL, Kubernetes, Docker, Spark"
Cloud Engineer,Delhi,0-2 Years,600000,Looking for Cloud Engineer,"Excel, Docker, Spark, Power BI"
Cloud Engineer,Chennai,2-5 Years,1400000,Looking for Cloud Engineer,"Power BI, Machine Learning, TensorFlow, Python"
AI Engineer,Chennai,0-2 Years,700000,Looking for AI Engineer,"Docker, AWS, Excel, React"
Data Analyst,Delhi,8+ Years,3100000,Looking for Data Analyst,"Spark, React, Machine Learning, Power BI"
Full Stack Developer,Pune,8+ Years,2700000,Looking for Full Stack Developer,"Kubernetes, AWS, Tableau, Java"
Data Scientist,Bangalore,8+ Years,3200000,Looking for Data Scientist,"Python, React, C++, Kubernetes"
ML Engineer,Hyderabad,0-2 Years,800000,Looking for ML Engineer,"Docker, Tableau, AWS, Excel"
Full Stack Developer,Chennai,5-8 Years,1700000,Looking for Full Stack Developer,"Power BI, Machine Learning, React, SQL"
Cloud Engineer,Mumbai,2-5 Years,1000000,Looking for Cloud Engineer,"Power BI, Excel, Java, AWS"
Backend Developer,Delhi,5-8 Years,1500000,Looking for Backend Developer,"Python, Tableau, SQL, React"
Data Analyst,Mumbai,0-2 Years,600000,Looking for Data Analyst,"C++, Power BI, Spark, Python"
Frontend Developer,Delhi,2-5 Years,800000,Looking for Frontend Developer,"AWS, React, Excel, Docker"
AI Engineer,Bangalore,5-8 Years,1700000,Looking for AI Engineer,"TensorFlow, React, Machine Learning, Power BI"
Cloud Engineer,Delhi,8+ Years,2600000,Looking for Cloud Engineer,"Java, Tableau, Docker, C++"
ML Engineer,Delhi,2-5 Years,1400000,Looking for ML Engineer,"Kubernetes, SQL, Docker, Tableau"
Cloud Engineer,Chennai,5-8 Years,1800000,Looking for Cloud Engineer,"React, Machine Learning, Java, SQL"
DevOps Engineer,Pune,8+ Years,2800000,Looking for DevOps Engineer,"Kubernetes, Machine Learning, SQL, AWS"
Cloud Engineer,Delhi,0-2 Years,600000,Looking for Cloud Engineer,"Kubernetes, Docker, Java, Spark"
Data Scientist,Bangalore,0-2 Years,700000,Looking for Data Scientist,"Docker, Python, TensorFlow, Kubernetes"
Frontend Developer,Hyderabad,8+ Years,3100000,Looking for Frontend Developer,"Power BI, Machine Learning, AWS, React"
AI Engineer,Pune,8+ Years,2900000,Looking for AI Engineer,"React, Machine Learning, Python, Java"
Full Stack Developer,Chennai,8+ Years,3100000,Looking for Full Stack Developer,"AWS, Docker, Machine Learning, Tableau"
Backend Developer,Chennai,0-2 Years,800000,Looking for Backend Developer,"TensorFlow, Docker, Power BI, Python"
Cloud Engineer,Chennai,5-8 Years,2100000,Looking for Cloud Engineer,"Kubernetes, Docker, Power BI, C++"
Data Scientist,Pune,2-5 Years,1000000,Looking for Data Scientist,"Kubernetes, C++, Excel, Python"
DevOps Engineer,Pune,2-5 Years,1100000,Looking for DevOps Engineer,"Machine Learning, SQL, Power BI, Kubernetes"
Frontend Developer,Hyderabad,5-8 Years,1700000,Looking for Frontend Developer,"TensorFlow, Spark, Kubernetes, Java"
Data Analyst,Mumbai,5-8 Years,1900000,Looking for Data Analyst,"Java, Kubernetes, Spark, Power BI"
Full Stack Developer,Delhi,0-2 Years,500000,Looking for Full Stack Developer,"Kubernetes, React, Spark, Python"
Frontend Developer,Bangalore,2-5 Years,1000000,Looking for Frontend Developer,"Machine Learning, Python, Kubernetes, Excel"
Data Analyst,Delhi,2-5 Years,1500000,Looking for Data Analyst,"React, C++, SQL, Power BI"
Data Scientist,Mumbai,8+ Years,3200000,Looking for Data Scientist,"SQL, C++, TensorFlow, Python"
Backend Developer,Mumbai,8+ Years,4000000,Looking for Backend Developer,"Machine Learning, Java, AWS, Excel"
Backend Developer,Delhi,0-2 Years,400000,Looking for Backend Developer,"Java, AWS, Docker, C++"
Frontend Developer,Chennai,8+ Years,3900000,Looking for Frontend Developer,"AWS, Python, Power BI, Kubernetes"
Cloud Engineer,Mumbai,5-8 Years,1900000,Looking for Cloud Engineer,"Python, Excel, AWS, Machine Learning"
Data Scientist,Delhi,2-5 Years,1100000,Looking for Data Scientist,"Power BI, Kubernetes, Spark, C++"
Frontend Developer,Bangalore,0-2 Years,400000,Looking for Frontend Developer,"C++, SQL, Python, Kubernetes"
Full Stack Developer,Hyderabad,5-8 Years,1800000,Looking for Full Stack Developer,"Tableau, Power BI, Spark, React"
Frontend Developer,Chennai,8+ Years,2700000,Looking for Frontend Developer,"React, C++, Kubernetes, Power BI"
DevOps Engineer,Hyderabad,0-2 Years,500000,Looking for DevOps Engineer,"C++, Spark, TensorFlow, SQL"
Full Stack Developer,Chennai,8+ Years,2800000,Looking for Full Stack Developer,"Java, Excel, React, Python"
Backend Developer,Delhi,5-8 Years,2100000,Looking for Backend Developer,"C++, Power BI, Tableau, TensorFlow"
AI Engineer,Delhi,5-8 Years,1900000,Looking for AI Engineer,"SQL, Power BI, Python, Tableau"
Data Analyst,Pune,0-2 Years,800000,Looking for Data Analyst,"Machine Learning, AWS, TensorFlow, Docker"
Data Analyst,Mumbai,8+ Years,3100000,Looking for Data Analyst,"Power BI, Tableau, Spark, Python"
Data Analyst,Bangalore,5-8 Years,1900000,Looking for Data Analyst,"TensorFlow, Power BI, Excel, React"
AI Engineer,Chennai,8+ Years,3600000,Looking for AI Engineer,"C++, AWS, Spark, Excel"
DevOps Engineer,Bangalore,0-2 Years,500000,Looking for DevOps Engineer,"SQL, Power BI, Docker, Excel"
Data Analyst,Mumbai,0-2 Years,700000,Looking for Data Analyst,"Excel, Python, SQL, Java"
ML Engineer,Bangalore,5-8 Years,2100000,Looking for ML Engineer,"C++, Tableau, TensorFlow, Spark"
AI Engineer,Pune,8+ Years,2800000,Looking for AI Engineer,"Kubernetes, SQL, Machine Learning, AWS"
DevOps Engineer,Delhi,5-8 Years,2400000,Looking for DevOps Engineer,"Kubernetes, TensorFlow, Power BI, React"
Backend Developer,Chennai,5-8 Years,1500000,Looking for Backend Developer,"AWS, Docker, Excel, Spark"
AI Engineer,Chennai,8+ Years,2900000,Looking for AI Engineer,"Python, Kubernetes, Power BI, SQL"
Backend Developer,Chennai,2-5 Years,1200000,Looking for Backend Developer,"React, TensorFlow, Kubernetes, Spark"
Frontend Developer,Chennai,5-8 Years,2500000,Looking for Frontend Developer,"Excel, Spark, C++, Tableau"
ML Engineer,Mumbai,0-2 Years,500000,Looking for ML Engineer,"Kubernetes, Power BI, AWS, Java"
Cloud Engineer,Hyderabad,0-2 Years,800000,Looking for Cloud Engineer,"Power BI, AWS, Java, C++"
ML Engineer,Mumbai,5-8 Years,1600000,Looking for ML Engineer,"AWS, Docker, C++, Power BI"
Full Stack Developer,Bangalore,0-2 Years,400000,Looking for Full Stack Developer,"Spark, Kubernetes, Java, Excel"
ML Engineer,Pune,8+ Years,3000000,Looking for ML Engineer,"Spark, TensorFlow, Python, Tableau"
Data Scientist,Chennai,2-5 Years,1300000,Looking for Data Scientist,"Power BI, Spark, Java, Kubernetes"
Backend Developer,Bangalore,0-2 Years,800000,Looking for Backend Developer,"React, SQL, C++, Kubernetes"
Frontend Developer,Delhi,5-8 Years,1700000,Looking for Frontend Developer,"SQL, Tableau, Machine Learning, React"
Data Analyst,Pune,0-2 Years,700000,Looking for Data Analyst,"Java, TensorFlow, Spark, Kubernetes"
Backend Developer,Delhi,8+ Years,3800000,Looking for Backend Developer,"SQL, Python, AWS, Excel"
AI Engineer,Chennai,2-5 Years,1500000,Looking for AI Engineer,"Docker, Power BI, C++, Python"
Cloud Engineer,Chennai,8+ Years,3100000,Looking for Cloud Engineer,"AWS, React, Power BI, Docker"
DevOps Engineer,Hyderabad,8+ Years,4000000,Looking for DevOps Engineer,"Spark, Machine Learning, Power BI, Kubernetes"
DevOps Engineer,Hyderabad,5-8 Years,1800000,Looking for DevOps Engineer,"Power BI, SQL, Python, Tableau"
DevOps Engineer,Mumbai,5-8 Years,2400000,Looking for DevOps Engineer,"Power BI, React, Java, AWS"
ML Engineer,Mumbai,8+ Years,3600000,Looking for ML Engineer,"React, Power BI, Python, TensorFlow"
Data Scientist,Chennai,8+ Years,2500000,Looking for Data Scientist,"Python, Power BI, React, Java"
Full Stack Developer,Bangalore,0-2 Years,800000,Looking for Full Stack Developer,"Docker, SQL, Kubernetes, Power BI"
Full Stack Developer,Delhi,5-8 Years,2200000,Looking for Full Stack Developer,"React, SQL, TensorFlow, Spark"
ML Engineer,Hyderabad,2-5 Years,1200000,Looking for ML Engineer,"Java, C++, SQL, Excel"
Backend Developer,Mumbai,0-2 Years,700000,Looking for Backend Developer,"Java, Kubernetes, Power BI, Docker"
Cloud Engineer,Delhi,5-8 Years,1700000,Looking for Cloud Engineer,"Java, Power BI, AWS, Kubernetes"
Data Analyst,Pune,2-5 Years,1200000,Looking for Data Analyst,"C++, Docker, Java, Power BI"
Backend Developer,Delhi,5-8 Years,1600000,Looking for Backend Developer,"AWS, TensorFlow, Power BI, Excel"
Full Stack Developer,Pune,5-8 Years,2500000,Looking for Full Stack Developer,"React, Machine Learning, Tableau, Java"
Full Stack Developer,Bangalore,5-8 Years,1700000,Looking for Full Stack Developer,"Kubernetes, SQL, Spark, Machine Learning"
Full Stack Developer,Bangalore,0-2 Years,600000,Looking for Full Stack Developer,"C++, SQL, AWS, Python"
Frontend Developer,Chennai,2-5 Years,800000,Looking for Frontend Developer,"AWS, Java, Machine Learning, React"
DevOps Engineer,Bangalore,2-5 Years,1200000,Looking for DevOps Engineer,"Java, SQL, Excel, Spark"
DevOps Engineer,Delhi,2-5 Years,1200000,Looking for DevOps Engineer,"Java, Tableau, Python, AWS"
Frontend Developer,Chennai,8+ Years,2800000,Looking for Frontend Developer,"AWS, Tableau, Kubernetes, TensorFlow"
Backend Developer,Pune,5-8 Years,2500000,Looking for Backend Developer,"Excel, Spark, Machine Learning, TensorFlow"
Data Analyst,Hyderabad,2-5 Years,1100000,Looking for Data Analyst,"Java, Machine Learning, Power BI, Tableau"
Backend Developer,Delhi,2-5 Years,800000,Looking for Backend Developer,"Java, SQL, Spark, TensorFlow"
ML Engineer,Bangalore,0-2 Years,800000,Looking for ML Engineer,"Docker, SQL, Machine Learning, AWS"
Cloud Engineer,Mumbai,0-2 Years,700000,Looking for Cloud Engineer,"Tableau, C++, Spark, Java"
Data Scientist,Mumbai,8+ Years,3700000,Looking for Data Scientist,"Power BI, C++, AWS, React"
Data Scientist,Pune,0-2 Years,400000,Looking for Data Scientist,"TensorFlow, Python, SQL, Docker"
